;t;ax;ay;az;vx;vy;vz
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.005047398257413081;0.0;-6.606680361037904e-10;-7.551470207428947e-09;0.0;-1.4894199611145666e-14;-1.7024148056316273e-13
2;0.010094796514826162;0.0;5.413364098240953e-09;6.187503477678461e-08;0.0;1.2203969473459398e-13;1.3949200938294381e-12
3;0.015142194772239242;0.0;-3.106004233017141e-08;-3.5501790835984114e-07;0.0;-7.002222676374969e-13;-8.003577142654725e-12
4;0.020189593029652324;0.0;-2.8309239091835174e-06;-3.235760834710524e-05;0.0;-6.382077455419706e-11;-7.294747911572125e-10
5;0.025236991287065406;0.0;-8.115700540905427e-06;-9.276288165609763e-05;0.0;-1.8296157409609972e-10;-2.091260361313965e-09
6;0.030284389544478485;0.0;-1.4698677381080193e-05;-0.00016800665124716183;0.0;-3.313691944667463e-10;-3.787567224278805e-09
7;0.03533178780189157;0.0;-2.1393141873292116e-05;-0.00024452473053212284;0.0;-4.822902092395378e-10;-5.512602316717631e-09
8;0.04037918605930465;0.0;-2.701238146112548e-05;-0.0003087529329228053;0.0;-6.089711919878748e-10;-6.9605725752963326e-09
9;0.04542658431671773;0.0;-3.036968358816458e-05;-0.0003471270718310342;0.0;-6.846587162851586e-10;-7.825684936680802e-09
10;0.05047398257413081;0.0;-3.027833569799372e-05;-0.0003460829606686343;0.0;-6.825993557047893e-10;-7.802146337536945e-09
11;0.05552138083154389;0.0;-2.5551625234197193e-05;-0.0002920564128474305;0.0;-5.760396838201691e-10;-6.584163714530647e-09
12;0.06056877908895697;0.0;-1.5002839640359263e-05;-0.00017148324177924788;0.0;-3.3822627420469803e-10;-3.865944004327805e-09
13;0.06561617734637006;0.0;7.014890047168176e-07;8.018056013725227e-06;0.0;1.5814473669549222e-11;1.8076026118358991e-10
14;0.07066357560378314;0.0;0.00024338033389783578;0.002781849945915781;0.0;5.4868028668064164e-09;6.271444374253834e-08
15;0.07571097386119621;0.0;-0.05243345658888266;-0.5993171512254958;0.0;-1.1820677345656729e-06;-1.3511096031492254e-05
16;0.0807583721186093;0.0;-0.09442856623079884;-1.0793234508927954;0.0;-2.128811804987729e-06;-2.4332430273745524e-05
17;0.08580577037602238;0.0;0.02483930539554452;0.2839145598353361;0.0;5.599810382007447e-07;6.400612555189112e-06
18;0.09085316863343545;0.0;0.3165495800516944;3.618178256408009;0.0;7.136341361266625e-06;8.156875500963664e-05
19;0.09590056689084854;0.0;0.3857010853720079;4.408583579033871;0.0;8.695303301859348e-06;9.938777152862579e-05
20;0.10094796514826163;0.0;11.440522302902945;130.76576829308755;0.0;0.011095242506968955;0.126819202166476
21;0.1059953634056747;0.0;10.892204996934042;124.49847287528692;0.0;0.06895273231136474;0.7881333367394695
22;0.11104276166308778;0.0;11.628173001756338;132.91062553196102;0.0;0.12708989228974868;1.4526441160220087
23;0.11609015992050087;0.0;11.695270130368462;133.67754893333446;0.0;0.18554364899759246;2.1207736124759347
24;0.12113755817791394;0.0;11.62704021136653;132.8976788671241;0.0;0.24430413260777023;2.7924090135251114
25;0.12618495643532704;0.0;11.734414195135601;134.12496764312127;0.0;0.30336592222169717;3.4674883578577598
26;0.1312323546927401;0.0;11.801763000557285;134.89476307432926;0.0;0.3627333458107805;4.146061114396343
27;0.13627975295015318;0.0;11.843102259991705;135.36729465904355;0.0;0.42240526209416746;4.828114239245458
28;0.14132715120756628;0.0;11.890607515107929;135.91033989569968;0.0;0.482381003039712;5.513640097075687
29;0.14637454946497935;0.0;11.944447677830516;136.5258125250455;0.0;0.5426615265042585;6.2026496356756216
30;0.15142194772239242;0.0;12.003500600468639;137.20086834780048;0.0;0.6032478559285528;6.895154552425857
31;0.15646934597980552;0.0;12.066644135331476;137.92266316468405;0.0;0.6641410147533409;7.591166544706984
32;0.1615167442372186;0.0;12.132756134728202;138.6783527764157;0.0;0.7253420264193673;8.290697309899585
33;0.16656414249463167;0.0;12.200714450967995;139.45509298371488;0.0;0.7868519143673781;8.99375854538425
34;0.17161154075204477;0.0;12.269396936360032;140.24003958730103;0.0;0.8486717020381191;9.700361948541577
35;0.17665893900945784;0.0;12.337681443213485;141.0203483878936;0.0;0.9108024128723351;10.41051921675214
36;0.1817063372668709;0.0;12.404267653132612;141.7811770142857;0.0;0.973243189142922;11.124220546829184
37;0.186753735524284;0.0;12.467103849236961;142.49925621410435;0.0;1.0359852396823575;11.841365461343305
38;0.19180113378169708;0.0;12.52394026604647;143.14909563385916;0.0;1.0990176822798206;12.561829583553145
39;0.19684853203911015;0.0;12.572352945493758;143.70313049485708;0.0;1.1623259876727419;13.285446847941065
40;0.20189593029652325;0.0;12.607683471005124;144.10718628312367;0.0;1.2258488438403756;14.011516423903814
41;0.20694332855393632;0.0;12.623981290586247;144.2916915419344;0.0;1.2894932856793395;14.73897566349069
42;0.2119907268113494;0.0;12.623498864809601;144.28446809048816;0.0;1.3531899103276297;15.467031357666766
43;0.2170381250687625;0.0;12.618266275275642;144.22937800863804;0.0;1.4168982364179077;16.195221014528723
44;0.22208552332617557;0.0;12.616758142871978;144.22040457284908;0.0;1.4805938489991157;16.92326547369356
45;0.22713292158358864;0.0;12.618891806373323;144.23404185220977;0.0;1.544282147352059;17.651225696043443
46;0.23218031984100174;0.0;12.623215943721652;144.23984863492072;0.0;1.6079705268138618;18.37918574821596
47;0.2372277180984148;0.0;12.62712620525468;144.23627238734554;0.0;1.6716599426113161;19.10715749044323
48;0.24227511635582788;0.0;12.62774643605561;144.2285705554976;0.0;1.735349831832514;19.835135761612587
