t,wx,wy,wz
0,0.0,0.0,0.0
0.005001000000000001,0.0,0.0,0.0
0.010001000000000003,0.0,0.0,0.0
0.015001000000000004,0.0,0.0,0.0
0.06500100000000002,0.0,0.0,0.0
0.06572479228565482,0.0,0.0,0.0
0.06644858457130963,0.0,0.0,0.0
0.06789616914261923,0.0,0.0,0.0
0.06934375371392883,0.0,0.0,0.0
0.07079133828523843,0.0,0.0,0.0
0.08526718399833444,0.0,0.0,0.0
0.09974302971143045,0.0,0.0,0.0
0.09978198916398819,0.0,0.0,0.0
0.09982094861654592,0.0,0.0,0.0
0.09985990806910365,0.0,0.0,0.0
0.09989886752166138,0.0,0.0,0.0
0.09993782697421912,0.0,0.0,0.0
0.10001574587933458,0.0,0.0,0.0
0.10009366478445005,0.0,0.0,0.0
0.10017158368956551,0.0,0.0,0.0
0.10095077274072022,0.0,0.0,0.0
0.10172996179187492,0.0,0.0,0.0
0.10250915084302963,0.0,0.0,0.0
0.11030104135457665,0.0,0.0,0.0
0.11809293186612367,0.0,0.0,0.0
0.1258848223776707,0.0,0.0,0.0
0.13367671288921773,0.0,0.0,0.0
0.1767479247955789,0.0,0.0,0.0
0.19361832073223237,0.0,0.0,0.0
0.2047569042766249,0.0,0.0,0.0
0.21589548782101745,0.0,0.0,0.0
0.22703407136540998,0.0,0.0,0.0
0.24931123845419503,0.0,0.0,0.0
0.2715884055429801,0.0,0.0,0.0
0.29386557263176516,0.0,0.0,0.0
0.31074408082900024,0.0,0.0,0.0
0.3276225890262353,0.0,0.0,0.0
0.3445010972234704,0.0,0.0,0.0
0.3782581136179405,0.0,0.0,0.0
0.392,-9.320695575221782e-10,0.0,0.0
0.39727624962459845,-7.699721048762707e-06,0.0,0.0
0.40251075973826894,-3.057765965539964e-05,0.0,0.0
0.40774526985193943,-6.913823800313261e-05,0.0,0.0
0.42479593449013836,-0.0003103196518423699,0.0,0.0
0.4418465991283373,-0.0007376178904838434,0.0,0.0
0.4588972637665362,-0.0013629508834207492,0.0,0.0
0.50724004469109,-0.004243710418477805,0.0,0.0
0.5465235872542248,-0.007747493348676534,0.0,0.0
0.5858071298173596,-0.011977503474847608,0.0,0.0
0.6250906723804944,-0.016360668182097117,0.0,0.0
0.6643742149436292,-0.0200668669589095,0.0,0.0
0.6947618063876642,-0.021856369340957887,0.0,0.0
0.7251493978316991,-0.022237907817967077,0.0,0.0
0.755536989275734,-0.02092360834007073,0.0,0.0
0.7859245807197689,-0.01786587113014313,0.0,0.0
0.7959292539630222,-0.01650966390457615,0.0,0.0
0.8059339272062754,-0.015009517329592537,0.0,0.0
0.8159386004495287,-0.013389979943797675,0.0,0.0
0.8370665217183445,-0.009697611559686634,0.0,0.0
0.8581944429871603,-0.0059095148574981795,0.0,0.0
0.8793223642559761,-0.002378763812591955,0.0,0.0
0.9004502855247919,0.000523263368097333,0.0,0.0
0.9373106120627439,0.003147052139918231,0.0,0.0
0.9741709386006959,0.0018683036179866753,0.0,0.0
1.011031265138648,-0.002826422482864012,0.0,0.0
